"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"KMI","Kinder Morgan, Inc.","15.33","33819073550.22","n/a","United States","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/kmi",
"KMI^A","Kinder Morgan, Inc.","30.05","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kmi^a",
"KIN","Kindred Biosciences, Inc.","9.2","259339545.2","n/a","United States","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kin",
"KND","Kindred Healthcare, Inc.","8.9","814663618.2","n/a","United States","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/knd",
"KINS","Kingstone Companies, Inc","17.25","184304675.25","n/a","United States","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kins",
"KFS","Kingsway Financial Services, Inc.","3.825","90502770.375","n/a","Canada","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kfs",
"KGC","Kinross Gold Corporation","3.82","4774777782.96","n/a","Canada","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/kgc",
"KNSL","Kinsale Capital Group, Inc.","51.68","1089008815.36","n/a","United States","2016","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/knsl",
"KEX","Kirby Corporation","84.25","5027529445","n/a","United States","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/kex",
"KIRK","Kirkland&#39;s, Inc.","10.25","161485213.75","n/a","United States","2002","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/kirk",
"KRG","Kite Realty Group Trust","14.87","1243128163.54","n/a","United States","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/krg",
"KKR","KKR & Co. L.P.","20.33","9896652030.35","n/a","United States","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/kkr",
"KKR^A","KKR & Co. L.P.","25.81","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kkr^a",
"KKR^B","KKR & Co. L.P.","25.54","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kkr^b",
"KREF","KKR Real Estate Finance Trust Inc.","19.64","1044624712.84","n/a","United States","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/kref",
"KLAC","KLA-Tencor Corporation","107.59","16770277409.97","n/a","United States","1980","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/klac",
"KLXI","KLX Inc.","72.35","3671046307.35","n/a","United States","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/klxi",
"KMG","KMG Chemicals, Inc.","64.15","994668202.5","n/a","United States","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kmg",
"KNX","Knight Transportation, Inc.","42.94","7651456743.54","n/a","United States","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/knx",
"KNL","Knoll, Inc.","21.08","1005728317.76","n/a","United States","2004","Consumer Durables","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/knl",
"KSS","Kohl&#39;s Corporation","61.34","10319651384.66","n/a","United States","1992","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/kss",
"KONA","Kona Grill, Inc.","1.855","18753521.325","n/a","United States","2005","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/kona",
"KOPN","Kopin Corporation","3.34","255591936.88","n/a","United States","1992","Technology","Semiconductors","https://www.nasdaq.com/symbol/kopn",
"KOP","Koppers Holdings Inc.","44.4","937155417.6","n/a","United States","2006","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/kop",
"KF","Korea Fund, Inc. (The)","40.82","228908477.46","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kf",
"KFY","Korn/Ferry International","53.2","3007126116.4","n/a","United States","1999","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/kfy",
"KOSS","Koss Corporation","1.8142","13393705.2252","n/a","United States","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/koss",
"KRA","Kraton Corporation","50.58","1603077360.84","n/a","United States","2009","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kra",
"KTOS","Kratos Defense & Security Solutions, Inc.","10.86","1124152298.58","n/a","United States","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ktos",
"KR","Kroger Company (The)","23.73","20549618880.42","n/a","United States","n/a","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/kr",
"KRO","Kronos Worldwide Inc","23.37","2708632030.26","n/a","United States","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kro",
"KRYS","Krystal Biotech, Inc.","9.84","101423310.48","n/a","United States","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/krys",
"KURA","Kura Oncology, Inc.","17.35","578688586.15","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kura",
"KVHI","KVH Industries, Inc.","10.75","188397985.5","n/a","United States","1996","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/kvhi",
"LB","L Brands, Inc.","36.18","10087079623.74","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/lb",
"FSTR","L.B. Foster Company","24.65","255034150.45","n/a","United States","n/a","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/fstr",
"SCX","L.S. Starrett Company (The)","6.15","43171585.5","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/scx",
"LLL","L3 Technologies, Inc.","210.32","16464895731.68","n/a","United States","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/lll",
"LJPC","La Jolla Pharmaceutical Company","31.02","687658866.84","n/a","United States","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/ljpc",
"LH","Laboratory Corporation of America Holdings","164.82","16811852947.44","n/a","United States","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/lh",
"LTS^A","Ladenburg Thalmann Financial Services Inc","25.18","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lts^a",
"LTS","Ladenburg Thalmann Financial Services Inc","3.29","658933192.05","n/a","United States","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/lts",
"LTSL","Ladenburg Thalmann Financial Services Inc","24.54","0","n/a","United States","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsl",
"LSBK","Lake Shore Bancorp, Inc.","16.8125","102118620.625","n/a","United States","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/lsbk",
"LBAI","Lakeland Bancorp, Inc.","19.8","939626127","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lbai",
"LKFN","Lakeland Financial Corporation","47.24","1194513663.36","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lkfn",
"LAKE","Lakeland Industries, Inc.","13.85","112409356.15","n/a","United States","1986","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/lake",
"LRCX","Lam Research Corporation","203.74","33199939090.16","n/a","United States","1984","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lrcx",
"LAMR","Lamar Advertising Company","62.96","6195138268.88","n/a","United States","1996","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lamr",
"LANC","Lancaster Colony Corporation","123.38","3387026402.82","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/lanc",
"LCA","Landcadia Holdings, Inc.","10.06","314375000","n/a","United States","2016","Finance","Business Services","https://www.nasdaq.com/symbol/lca",
"LCAHU","Landcadia Holdings, Inc.","10.68","0","n/a","United States","2016","Finance","Business Services","https://www.nasdaq.com/symbol/lcahu",
"LCAHW","Landcadia Holdings, Inc.","0.62","0","n/a","United States","2016","Finance","Business Services","https://www.nasdaq.com/symbol/lcahw",
"LNDC","Landec Corporation","13.8","380389106.4","n/a","United States","1996","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/lndc",
"LARK","Landmark Bancorp Inc.","28.7","117793065.6","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lark",
"LMRK","Landmark Infrastructure Partners LP","16.25","402866977.5","n/a","United States","2014","Consumer Services","Real Estate","https://www.nasdaq.com/symbol/lmrk",
"LMRKO","Landmark Infrastructure Partners LP","24","0","n/a","United States","n/a","Consumer Services","Real Estate","https://www.nasdaq.com/symbol/lmrko",
"LMRKP","Landmark Infrastructure Partners LP","24.8759","0","n/a","United States","n/a","Consumer Services","Real Estate","https://www.nasdaq.com/symbol/lmrkp",
"LE","Lands&#39; End, Inc.","21.85","702083544.5","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/le",
"LSTR","Landstar System, Inc.","107.25","4511738838.75","n/a","United States","1993","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/lstr",
"LCI","Lannett Co Inc","16.45","622527220","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/lci",
"LNTH","Lantheus Holdings, Inc.","15.95","604956895.4","n/a","United States","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/lnth",
"LTRX","Lantronix, Inc.","2.23","40534549.44","n/a","United States","2000","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/ltrx",
"LPI","Laredo Petroleum, Inc.","9.56","2305480737.88","n/a","United States","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/lpi",
"LVS","Las Vegas Sands Corp.","71.82","56672678507.76","n/a","United States","2004","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/lvs",
"LHO","LaSalle Hotel Properties","29.94","3389357879.64","n/a","United States","1998","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/lho",
"LHO^I","LaSalle Hotel Properties","24.318","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lho^i",
"LHO^J","LaSalle Hotel Properties","24.545","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lho^j",
"LAQ","Latin America Equity Fund, Inc. (The)","27.72","206472891.24","n/a","United States","1991","n/a","n/a","https://www.nasdaq.com/symbol/laq",
"LDF","Latin American Discovery Fund, Inc. (The)","11.94","80231379.24","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ldf",
"LSCC","Lattice Semiconductor Corporation","5.59","694343458.9","n/a","United States","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/lscc",
"LAUR","Laureate Education, Inc.","14.4","2699936524.8","n/a","United States","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/laur",
