"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AU","AngloGold Ashanti Limited","9.36","3838111196.4","n/a","South Africa","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/au",
"DRD","DRDGOLD Limited","2.67","115191745.92","n/a","South Africa","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/drd",
"GFI","Gold Fields Limited","3.91","3212192884.37","n/a","South Africa","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gfi",
"HMY","Harmony Gold Mining Company Limited","2.09","929484115.78","n/a","South Africa","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/hmy",
"MIXT","MiX Telematics Limited","16.02","358451168.58","n/a","South Africa","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mixt",
"UEPS","Net 1 UEPS Technologies, Inc.","9.04","513764624.8","n/a","South Africa","2005","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ueps",
"SSL","Sasol Ltd.","35.79","23184753875.67","n/a","South Africa","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ssl",
"SBGL","Sibanye Gold Limited","3.68","2167911794.88","n/a","South Africa","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sbgl",
