"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"DLBS","Barclays PLC","19.394","18888631.148","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dlbs",
"DTUL","Barclays PLC","59.725","4122995.925","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dtul",
"DTUS","Barclays PLC","38","9534314","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dtus",
"DTYL","Barclays PLC","73.11","5029456.23","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dtyl",
"DTYS","Barclays PLC","22.1","62545629.9","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dtys",
"FLAT","Barclays PLC","63.5501","3046718.8942","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/flat",
"STPP","Barclays PLC","31.3751","4169750.79","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/stpp",
"TAPR","Barclays PLC","25.33","16725399","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/tapr",
"BBL","BHP Billiton plc","41.51","110494698989.5","n/a","United Kingdom","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/bbl",
"BFRA","Biofrontera AG","14.3266","318171064.0124","n/a","Germany","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bfra",
"BP","BP p.l.c.","42.96","142862901672.48","n/a","United Kingdom","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bp",
"BSA","BrightSphere Investment Group plc","23.28","0","n/a","United Kingdom","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsa",
"BSIG","BrightSphere Investment Group plc","14.6","1606932779.4","n/a","United Kingdom","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsig",
"BTI","British American Tobacco p.l.c.","58.83","125367056800.65","n/a","United Kingdom","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/bti",
"BT","BT Group plc","17.21","34151189145.03","n/a","United Kingdom","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/bt",
"CPLP","Capital Product Partners L.P.","3.2","407189414.4","n/a","Greece","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cplp",
"CLLS","Cellectis S.A.","30.65","1275207410.3","n/a","France","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/clls",
"CYAD","Celyad SA","31.3511","309508843.9784","n/a","Belgium","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cyad",
"CGG","CGG","2.06","1411889186","n/a","France","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cgg",
"CBI","Chicago Bridge & Iron Company N.V.","13.86","1421185120.74","n/a","Netherlands","1997","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cbi",
"CB","Chubb Limited","134","62420626246","n/a","Switzerland","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cb",
"CMPR","Cimpress N.V","150.98","4637272341.38","n/a","Netherlands","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",
"CSTM","Constellium N.V.","11.8","1587225351.4","n/a","Netherlands","2013","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/cstm",
