"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"MRVL","Marvell Technology Group Ltd.","22.01","10927965000","n/a","Bermuda","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/mrvl",
"NBR","Nabors Industries Ltd.","7.58","2792004685.42","n/a","Bermuda","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nbr",
"NAT","Nordic American Tankers Limited","2.18","309445911.88","n/a","Bermuda","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/nat",
"OIIM","O2Micro International Limited","1.36","34938353.76","n/a","Cayman Islands","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/oiim",
"ORIG","Ocean Rig UDW Inc.","25.16","2303850427.12","n/a","Cayman Islands","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/orig",
"OFG","OFG Bancorp","12.05","529818521.1","n/a","Puerto Rico","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ofg",
"OFG^A","OFG Bancorp","23.7353","0","n/a","Puerto Rico","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ofg^a",
"OFG^B","OFG Bancorp","22.96","0","n/a","Puerto Rico","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ofg^b",
"OFG^D","OFG Bancorp","23.7957","0","n/a","Puerto Rico","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ofg^d",
"OFIX","Orthofix International N.V.","59.49","1094933914.56","n/a","Curacao","1992","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ofix",
"OXBR","Oxbridge Re Holdings Limited","2.15","12327212.05","n/a","Cayman Islands","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/oxbr",
"OXBRW","Oxbridge Re Holdings Limited","0.065","0","n/a","Cayman Islands","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/oxbrw",
"PAGS","PagSeguro Digital Ltd.","34.46","10859726812.2","n/a","Cayman Islands","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/pags",
"PRE^F","PartnerRe Ltd.","25.2458","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pre^f",
"PRE^G","PartnerRe Ltd.","26.57","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pre^g",
"PRE^H","PartnerRe Ltd.","27.49","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pre^h",
"PRE^I","PartnerRe Ltd.","25.42","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pre^i",
"RNR","RenaissanceRe Holdings Ltd.","135.53","5432315221.89","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/rnr",
"RNR^C","RenaissanceRe Holdings Ltd.","25.37","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^c",
"RNR^E","RenaissanceRe Holdings Ltd.","24.67","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^e",
"SPNS","Sapiens International Corporation N.V.","8.53","424439442.02","n/a","Curacao","1992","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/spns",
"SDRL","Seadrill Limited","0.2242","113096407.576","n/a","Bermuda","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdrl",
"SFL","Ship Finance International Limited","14.65","1517479786.7","n/a","Bermuda","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sfl",
"SIG","Signet Jewelers Limited","38.63","2279372884.76","n/a","Bermuda","n/a","Consumer Services","Consumer Specialties","https://www.nasdaq.com/symbol/sig",
"TK","Teekay Corporation","8.77","879249996.12","n/a","Bermuda","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/tk",
"TGP","Teekay LNG Partners L.P.","18.2","1448720000","n/a","Bermuda","2005","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/tgp",
